stcode,ntcode,size,name,reachable,errors,errorlist,time1,time2,time3
1000100,5000100,1024,1000100-5000100-True-False-1612182591.006834,True,False,[],0.074301958,0.284296274,0.003659010
1000010,1000010,1024,1000010-1000010-False-False-1612182591.035111,False,False,[],0.000383139,0.001123190,-1
1000001,8000001,1024,1000001-8000001-True-False-1612182591.129465,True,False,[],0.009886980,0.048717022,0.022492170
0011111,0019121,1024,0011111-0019121-True-True-1612182591.030339,True,True,['Reachability believed but took longer than 30'],5.157079935,18.566301107,30.168328047
1111110,5391110,1024,1111110-5391110-True-False-1612182591.456445,True,False,[],0.000604868,0.002958059,0.000095129
1111101,9184201,1024,1111101-9184201-True-False-1612182594.964948,True,False,[],0.000827074,0.003582239,3.500939131
1111011,1125076,1024,1111011-1125076-True-False-1612182596.524099,True,False,[],0.001436949,0.006375790,1.546154022
0011011,0012011,1024,0011011-0012011-True-True-1612182598.373086,True,True,['Reachability believed but took longer than 30'],5.488717079,15.168485165,30.120220900
1110111,7160115,1024,1110111-7160115-True-False-1612182599.1481678,True,False,[],0.001074791,0.003235817,2.615828991
1101111,1801111,1024,1101111-1801111-True-False-1612182599.2163022,True,False,[],0.000481844,0.002135038,0.059199095
0101010,0303020,1024,0101010-0303020-True-True-1612182602.2608728,True,True,['Reachability believed but took longer than 30'],0.005567074,0.033677101,30.086205959
1111000,6153000,1024,1111000-6153000-True-True-1612182613.739824,True,True,['Reachability believed but took longer than 30'],0.000598907,0.002791166,30.153089046
1110100,1680100,1024,1110100-1680100-True-False-1612182614.465916,True,False,[],0.000549793,0.002887011,0.717254877
0101011,0409018,1024,0101011-0409018-True-True-1612182620.563195,True,True,['Reachability believed but took longer than 30'],0.500763893,1.850726128,30.155027866
0100111,0100147,1024,0100111-0100147-True-False-1612182621.524319,True,False,[],0.151523113,0.661126852,0.021745205
1011110,1081110,1024,1011110-1081110-True-True-1612182626.4436889,True,True,['Reachability believed but took longer than 30'],2.676963806,8.925542116,30.135957003
1010110,1080110,1024,1010110-1080110-True-True-1612182627.3162491,True,True,['Reachability believed but took longer than 30'],1.629497051,4.716328382,30.111914158
1011111,3031411,1024,1011111-3031411-True-True-1612182629.623861,True,True,['Reachability believed but took longer than 30'],0.044552803,0.225338936,30.104063988
0110000,0310000,1024,0110000-0310000-True-True-1612182629.899384,True,True,['Reachability believed but took longer than 30'],6.842477798,1.770564079,30.074106932
0101001,0105001,1024,0101001-0105001-True-True-1612182632.761229,True,True,['Reachability believed but took longer than 30'],0.079226017,0.321313143,30.075376272
0100110,0100110,1024,0100110-0100110-True-False-1612182634.059358,True,False,[],0.337481022,0.751344919,0.134073973
0100101,0700501,1024,0100101-0700501-True-False-1612182634.10576,True,False,[],0.001156092,0.008071899,0.005395889
0100011,0500014,1024,0100011-0500014-True-False-1612182634.562233,True,False,[],0.073610067,0.358416080,0.003122091
0011100,0014100,1024,0011100-0014100-False-False-1612182634.596606,False,False,[],0.000376940,0.005307198,-1
1011101,1011701,1024,1011101-1011701-True-False-1612182641.266144,True,False,[],3.527932882,10.827574968,0.046175003
1110010,4120010,1024,1110010-4120010-True-True-1612182644.577698,True,True,['Reachability believed but took longer than 30'],0.000720978,0.001228094,30.106083155
0010111,0070118,1024,0010111-0070118-True-True-1612182648.04455,True,True,['Reachability believed but took longer than 30'],4.528323889,14.458297253,30.133603096
0001111,0001712,1024,0001111-0001712-True-False-1612182648.479885,True,False,[],0.013168097,0.089153051,0.023371935
1011011,8011011,1024,1011011-8011011-True-False-1612182648.5328891,True,False,[],1.556758881,5.228945017,0.034847975
1001100,9001600,1024,1001100-9001600-True-False-1612182651.288427,True,False,[],0.588840961,2.086714983,0.005778074
1010111,5090111,1024,1010111-5090111-True-False-1612182656.748393,True,False,[],1.489490986,5.935768843,0.428271770
1001111,1001117,1024,1001111-1001117-False-False-1612182658.9729228,False,False,[],0.514738083,1.396725893,-1
1001010,7001010,1024,1001010-7001010-True-False-1612182659.8087308,True,False,[],1.206938028,3.473954201,3.617619038
0111110,0913350,1024,0111110-0913350-True-False-1612182666.9401522,True,False,[],0.482935667,2.385505676,4.927407026
1010101,1010105,1024,1010101-1010105-True-True-1612182667.728395,True,True,['Reachability believed but took longer than 30'],3.234428167,6.812940836,30.094093084
1010011,5010071,1024,1010011-5010071-True-False-1612182668.13102,True,False,[],0.037552834,0.203303099,0.030684233
0011010,0052070,1024,0011010-0052070-True-True-1612182669.175809,True,True,['Reachability believed but took longer than 30'],0.948982000,3.383708954,30.129240036
0011001,0011007,1024,0011001-0011007-False-False-1612182669.288745,False,False,[],0.001646996,0.002042770,-1
0101000,0207000,1024,0101000-0207000-True-True-1612182670.588296,True,True,['Reachability believed but took longer than 30'],2.601360321,7.756016731,30.116023064
0100100,0900100,1024,0100100-0900100-True-False-1612182670.871222,True,False,[],0.003338099,0.024028063,0.082250834
0100010,0200010,1024,0100010-0200010-True-False-1612182671.2414029,True,False,[],0.016839027,0.081128120,0.258173943
0100001,0700008,1024,0100001-0700008-True-False-1612182671.617412,True,False,[],0.050740957,0.217607021,0.077803135
0011000,0047000,1024,0011000-0047000-False-False-1612182671.652506,False,False,[],0.000527859,0.006213903,-1
0010100,0010100,1024,0010100-0010100-False-False-1612182671.657001,False,False,[],0.000187874,0.001355886,-1
0010010,0090010,1024,0010010-0090010-False-False-1612182671.665925,False,False,[],0.000370026,0.005676031,-1
0010001,0010001,1024,0010001-0010001-False-False-1612182671.671507,False,False,[],0.000237942,0.001583099,-1
1110001,1470001,1024,1110001-1470001-True-True-1612182674.724608,True,True,['Reachability believed but took longer than 30'],0.000553846,0.002723932,30.138653994
1001110,1001410,1024,1001110-1001410-True-False-1612182675.760001,True,False,[],1.184639931,3.827509880,2.494735003
0111111,0158211,1024,0111111-0158211-True-True-1612182681.74454,True,True,['Reachability believed but took longer than 30'],4.836234093,16.857307911,30.155733109
1111111,1275931,1024,1111111-1275931-True-False-1612182682.1994529,True,False,[],0.001208067,0.004912138,0.118937254
1000000,1000000,1024,1000000-1000000-False-False-1612182682.203448,False,False,[],0.000340939,0.000562906,-1
0011110,0011140,1024,0011110-0011140-True-True-1612182683.087378,True,True,['Reachability believed but took longer than 30'],7.954223156,23.161126137,30.092527866
0100000,0600000,1024,0100000-0600000-False-False-1612182687.091969,False,False,[],1.941647053,2.858821869,-1
0010000,0010000,1024,0010000-0010000-False-False-1612182687.188839,False,False,[],0.000248194,0.000864983,-1
0001000,0002000,1024,0001000-0002000-False-False-1612182687.1919749,False,False,[],0.000176907,0.001167059,-1
1110110,2110280,1024,1110110-2110280-True-False-1612182687.200157,True,False,[],0.000459909,0.002630234,0.001124859
1110101,1110508,1024,1110101-1110508-True-False-1612182689.6302001,True,False,[],0.000481844,0.002016783,2.422918081
1110011,8610019,1024,1110011-8610019-True-False-1612182689.716025,True,False,[],0.001734972,0.005075932,0.071695089
1101110,2106660,1024,1101110-2106660-True-False-1612182689.738477,True,False,[],0.000822067,0.003874063,0.012274265
1101101,1605102,1024,1101101-1605102-True-False-1612182690.692417,True,False,[],0.000916958,0.002645969,0.946048975
1101011,5107096,1024,1101011-5107096-True-False-1612182690.806711,True,False,[],0.001542807,0.004709005,0.085237026
1100111,6100116,1024,1100111-6100116-True-False-1612182690.852176,True,False,[],0.000515223,0.002088070,0.000494957
1001001,1001001,1024,1001001-1001001-True-True-1612182693.605942,True,True,['Reachability believed but took longer than 30'],1.252209902,2.227244139,30.094255924
1000110,5000570,1024,1000110-5000570-True-False-1612182694.680508,True,False,[],0.136596918,0.719092846,0.101364136
1000101,1000609,1024,1000101-1000609-True-False-1612182697.423002,True,False,[],0.650438309,1.959923983,0.001760006
1000011,9000011,1024,1000011-9000011-True-False-1612182700.048689,True,False,[],0.532586813,1.917438269,0.009299040
1101001,1102001,1024,1101001-1102001-True-True-1612182704.855221,True,True,['Reachability believed but took longer than 30'],0.000677109,0.001466990,30.122819901
1100110,3700110,1024,1100110-3700110-True-False-1612182704.877704,True,False,[],0.000561714,0.002604008,0.015255928
1100101,6200702,1024,1100101-6200702-True-False-1612182704.898732,True,False,[],0.000969887,0.002931833,0.012471199
1100011,1100082,1024,1100011-1100082-True-False-1612182704.92539,True,False,[],0.000754118,0.001929998,0.020557165
0011101,0014801,1024,0011101-0014801-True-False-1612182706.749535,True,False,[],3.302734137,12.058077812,7.796106100
0001100,0001300,1024,0001100-0001300-True-True-1612182707.212694,True,True,['Reachability believed but took longer than 30'],1.244841099,3.764427900,30.099977970
0001010,0001010,1024,0001010-0001010-False-False-1612182707.314765,False,False,[],0.000626326,0.001635075,-1
