stcode,ntcode,size,name,reachable,errors,errorlist,time1,time2,time3
1011111,1035281,50,1011111-1035281-True-False-1610386197.152482,True,False,[],0.005085230,0.052742243,0.001412153
1011100,1011100,50,1011100-1011100-True-False-1610386197.366661,True,False,[],0.007029057,0.028865814,3.953865051
0111111,0171181,50,0111111-0171181-True-False-1610386197.452472,True,False,[],0.029504061,0.224858999,0.001043320
1111111,3124716,50,1111111-3124716-True-False-1610386197.5021389,True,False,[],0.000800133,0.003920794,0.008465290
1011010,2062010,50,1011010-2062010-True-False-1610386197.588085,True,False,[],0.002788067,0.030873299,0.176285982
1011001,3019001,50,1011001-3019001-True-False-1610386207.118217,True,False,[],0.004151106,0.039560318,9.394820213
0011110,0029110,50,0011110-0029110-True-False-1610386212.1963499,True,False,[],0.061367989,0.340456009,17.505846977
0101000,0109000,50,0101000-0109000-True-True-1610386222.977267,True,True,['Reachability believed but took longer than 30'],0.000932217,0.006647110,30.094020128
0101010,0109010,50,0101010-0109010-True-True-1610386223.017482,True,True,['Reachability believed but took longer than 30'],0.000844955,0.006195068,30.119158030
0100100,0100800,50,0100100-0100800-True-False-1610386223.046525,True,False,[],0.006238937,0.050387144,0.001268864
0101001,0706004,50,0101001-0706004-True-False-1610386223.05828,True,False,[],0.003854752,0.019502878,0.010725975
0100110,0100410,50,0100110-0100410-True-False-1610386223.085732,True,False,[],0.003286123,0.015758753,0.001302958
1011000,1066000,50,1011000-1066000-True-True-1610386223.1019819,True,True,['Reachability believed but took longer than 30'],0.014290094,0.086639881,30.107245207
1010100,1010500,50,1010100-1010500-True-False-1610386223.145155,True,False,[],0.006325006,0.020264149,0.000315905
0100101,0100408,50,0100101-0100408-True-False-1610386223.145739,True,False,[],0.009171963,0.039599180,0.000072241
0111000,0224000,50,0111000-0224000-True-True-1610386223.153783,True,True,['Reachability believed but took longer than 30'],0.001880169,0.015134096,30.070989847
1010010,4010060,50,1010010-4010060-True-False-1610386223.1728399,True,False,[],0.001830816,0.017484665,0.000983953
1001010,1007010,50,1001010-1007010-True-True-1610386223.258265,True,True,['Reachability believed but took longer than 30'],0.010697842,0.062059641,30.048629045
1001001,1002001,50,1001001-1002001-True-False-1610386238.620809,True,False,[],0.000376940,0.001805067,15.354861975
0011101,0049101,50,0011101-0049101-True-True-1610386242.469702,True,True,['Reachability believed but took longer than 30'],0.027197838,0.138778210,30.076941013
0011011,0041024,50,0011011-0041024-True-False-1610386242.59651,True,False,[],0.000506878,0.002159119,0.116532803
1000000,1000000,50,1000000-1000000-False-False-1610386242.810754,False,False,[],0.000257015,0.000536203,-1
0100000,0400000,50,0100000-0400000-False-False-1610386242.814202,False,False,[],0.000593185,0.001433134,-1
0010000,0010000,50,0010000-0010000-False-False-1610386242.817502,False,False,[],0.000198126,0.000735044,-1
0000100,0000300,50,0000100-0000300-False-False-1610386242.820044,False,False,[],0.000457764,0.001443863,-1
0001000,0002000,50,0001000-0002000-False-False-1610386242.820727,False,False,[],0.000199080,0.001605272,-1
0010010,0010010,50,0010010-0010010-False-False-1610386242.829367,False,False,[],0.000312805,0.001736879,-1
0000010,0000070,50,0000010-0000070-True-False-1610386242.830722,True,False,[],0.001008034,0.006626606,0.000530958
0100010,0600080,50,0100010-0600080-True-False-1610386242.8318138,True,False,[],0.001847744,0.006736994,0.000190973
0000001,0000009,50,0000001-0000009-False-False-1610386242.8336,False,False,[],0.000093937,0.000655890,-1
0100001,0600001,50,0100001-0600001-False-False-1610386242.8352692,False,False,[],0.000426292,0.001178980,-1
0010001,0010007,50,0010001-0010007-False-False-1610386242.8342102,False,False,[],0.000661135,0.001732111,-1
1100000,1200000,50,1100000-1200000-True-False-1610386242.8503308,True,False,[],0.000306129,0.000702858,0.001405239
1000001,8000008,50,1000001-8000008-True-False-1610386242.8504388,True,False,[],0.010552168,0.004137993,0.000742912
0001001,0001006,50,0001001-0001006-False-False-1610386242.8546612,False,False,[],0.000178814,0.001495123,-1
0110000,0110000,50,0110000-0110000-False-False-1610386242.857301,False,False,[],0.001227140,0.001432180,-1
0000110,0000110,50,0000110-0000110-False-False-1610386242.859091,False,False,[],0.000478268,0.002068043,-1
0011000,0013000,50,0011000-0013000-False-False-1610386242.8683462,False,False,[],0.003352165,0.003555059,-1
1100001,3500001,50,1100001-3500001-True-False-1610386242.8686059,True,False,[],0.001559019,0.006065130,0.000104904
0001100,0001700,50,0001100-0001700-True-False-1610386242.869623,True,False,[],0.000892162,0.009786844,0.006066084
0001010,0005010,50,0001010-0005010-False-False-1610386242.882433,False,False,[],0.000557184,0.009210110,-1
1000110,1000130,50,1000110-1000130-True-False-1610386242.888134,True,False,[],0.000300884,0.000771999,0.001601934
1010001,3050001,50,1010001-3050001-True-False-1610386242.891207,True,False,[],0.000667095,0.004920006,0.001446009
1010000,2040000,50,1010000-2040000-False-False-1610386242.897503,False,False,[],0.031323910,0.025619030,-1
1001100,3001900,50,1001100-3001900-True-False-1610386242.913441,True,False,[],0.000917912,0.008569241,0.001021862
0010100,0010800,50,0010100-0010800-True-False-1610386242.911264,True,False,[],0.001557112,0.007324934,0.027922869
0000101,0000303,50,0000101-0000303-True-False-1610386242.916322,True,False,[],0.002135992,0.017718077,0.000262976
1000101,5000702,50,1000101-5000702-True-False-1610386242.927739,True,False,[],0.002260923,0.023381948,0.007886887
0000011,0000028,50,0000011-0000028-True-False-1610386242.9382951,True,False,[],0.001930952,0.010703802,0.002193928
1000011,1000016,50,1000011-1000016-False-False-1610386242.941399,False,False,[],0.001441956,0.005720139,-1
0110100,0330100,50,0110100-0330100-True-False-1610386242.938785,True,False,[],0.001596212,0.009660959,0.003664255
0110010,0910010,50,0110010-0910010-True-False-1610386242.9585679,True,False,[],0.000634909,0.004270792,0.002084970
1001010,6001010,50,1001010-6001010-True-False-1610386242.967954,True,False,[],0.002715826,0.042636156,0.001183987
1001001,1001001,50,1001001-1001001-False-False-1610386242.974713,False,False,[],0.000769138,0.002743006,-1
0111000,0368000,50,0111000-0368000-True-False-1610386242.9804668,True,False,[],0.001442671,0.020545721,0.000048161
0100011,0600013,50,0100011-0600013-True-False-1610386242.9854,True,False,[],0.001061916,0.005505085,0.001641989
0011100,0021200,50,0011100-0021200-False-False-1610386243.010525,False,False,[],0.001614094,0.012704849,-1
0010110,0070910,50,0010110-0070910-True-False-1610386243.0295181,True,False,[],0.006695271,0.025496960,0.005203962
0010101,0010105,50,0010101-0010105-False-False-1610386243.0423522,False,False,[],0.000813007,0.003242970,-1
0110001,0190001,50,0110001-0190001-True-False-1610386243.154936,True,False,[],0.023015022,0.145519972,0.002077103
0011010,0051060,50,0011010-0051060-True-False-1610386243.184767,True,False,[],0.015291929,0.122534990,0.000107765
0101100,0101300,50,0101100-0101300-True-False-1610386243.2015228,True,False,[],0.003217220,0.013648272,0.005491734
0011001,0018007,50,0011001-0018007-False-False-1610386243.208689,False,False,[],0.000829935,0.004522085,-1
1110100,1110200,50,1110100-1110200-True-False-1610386243.2717,True,False,[],0.000298023,0.002174139,0.057279110
1110010,7130010,50,1110010-7130010-True-False-1610386243.279993,True,False,[],0.000523090,0.001788139,0.000606775
1110001,1960001,50,1110001-1960001-True-False-1610386243.28639,True,False,[],0.000413895,0.001949072,0.002167702
1101100,1401100,50,1101100-1401100-True-False-1610386243.290525,True,False,[],0.000328779,0.001562119,0.000321865
1101010,1101010,50,1101010-1101010-True-False-1610386243.295753,True,False,[],0.000225067,0.001609802,0.000413895
1101001,1402005,50,1101001-1402005-True-False-1610386243.319339,True,False,[],0.000305176,0.001312017,0.017505169
1100110,1100810,50,1100110-1100810-True-False-1610386243.324308,True,False,[],0.000341892,0.001906872,0.000246763
